"","county","high.school","bachelor","unemployment","income","population","pop.white","pop.black","pop.indian","pop.asian","pop.hawai","pop.other","pop.multi","category","sale.dollars","sale.volume","sale.dollars.capita","sale.volume.capita"
"145","Cass",90.3,19.8,3.3,27884,13433,13117,35,50,71,23,18,119,"Whisky",493445,33527,36.7337899203454,2.49586838383086
"146","Cass",90.3,19.8,3.3,27884,13433,13117,35,50,71,23,18,119,"Misc",107457,5889,7.99947889525795,0.438397975135859
"147","Cass",90.3,19.8,3.3,27884,13433,13117,35,50,71,23,18,119,"Gin",22606,2026,1.68287054269337,0.150822601057098
"148","Cass",90.3,19.8,3.3,27884,13433,13117,35,50,71,23,18,119,"Amaretto",2959,298,0.220278418819326,0.0221841733045485
"149","Cass",90.3,19.8,3.3,27884,13433,13117,35,50,71,23,18,119,"Tequila",56317,3838,4.19243653688677,0.285714285714286
"150","Cass",90.3,19.8,3.3,27884,13433,13117,35,50,71,23,18,119,"Distilled Spirits",7075,332,0.526688007146579,0.0247152534802352
"151","Cedar",93.4,22,3.3,34919,18389,17852,108,27,149,0,57,196,"Rum",66596,4828,3.62151286094948,0.262548262548263
"152","Cedar",93.4,22,3.3,34919,18389,17852,108,27,149,0,57,196,"Misc",33772,2419,1.83653270977215,0.131546032954484
"153","Cedar",93.4,22,3.3,34919,18389,17852,108,27,149,0,57,196,"Schnapps",26425,2010,1.43700038066235,0.109304475501659
"154","Cedar",93.4,22,3.3,34919,18389,17852,108,27,149,0,57,196,"Whisky",209160,15568,11.374191092501,0.846593071945185
"155","Cedar",93.4,22,3.3,34919,18389,17852,108,27,149,0,57,196,"Tequila",15392,1011,0.837022132796781,0.0549785197672522
"156","Cedar",93.4,22,3.3,34919,18389,17852,108,27,149,0,57,196,"Vodka",103532,10527,5.63010495404862,0.57246179781391
"157","Cedar",93.4,22,3.3,34919,18389,17852,108,27,149,0,57,196,"Amaretto",1739,192,0.0945674044265594,0.0104410245255316
"158","Cedar",93.4,22,3.3,34919,18389,17852,108,27,149,0,57,196,"Distilled Spirits",2242,142,0.121920713470009,0.00772200772200772
"159","Cedar",93.4,22,3.3,34919,18389,17852,108,27,149,0,57,196,"Gin",13519,1400,0.735167763336777,0.0761324704986677
"160","Cedar",93.4,22,3.3,34919,18389,17852,108,27,149,0,57,196,"Brandy",9379,792,0.510033172005003,0.0430692261678177
"161","Cerro Gordo",93.3,21.9,4.1,28930,43303,41093,682,118,488,0,229,693,"Gin",127047,9328,2.93390758146087,0.215412327090502
"162","Cerro Gordo",93.3,21.9,4.1,28930,43303,41093,682,118,488,0,229,693,"Schnapps",237926,17719,5.4944461122786,0.409186430501351
