"","zipcode","sum.sale.dollars.","population","perCapitaSales"
"409",52738,130085,3789,34.3322776458168
"410",52742,271795,7778,34.944073026485
"411",52747,69461,2233,31.1065830721003
"412",52748,424970,10235,41.5212506106497
"413",52751,37275,924,40.3409090909091
"414",52753,495528,5505,90.0141689373297
"415",52761,2621441,30273,86.5933670267235
"416",52768,16312,1440,11.3277777777778
"417",52772,299399,4791,62.491964099353
"418",52776,168690,4701,35.8838544990428
"419",52777,10657,1323,8.0551776266062
"420",52778,77522,4374,17.7233653406493
"421",52801,5646,1015,5.56256157635468
"422",52802,953931,10520,90.6778517110266
"423",52803,816777,22676,36.0194478744047
"424",52804,4146021,27007,153.516532750768
"425",52806,1632335,28498,57.278931854867
"426",52807,5697018,15054,378.43882024711
"427",50001,NA,575,NA
"428",50005,NA,1007,NA
"429",50007,NA,595,NA
"430",50008,NA,978,NA
"431",50011,NA,1587,NA
"432",50012,NA,4743,NA
"433",50026,NA,612,NA
"434",50027,NA,312,NA
"435",50029,NA,651,NA
"436",50032,NA,104,NA
"437",50034,NA,365,NA
"438",50038,NA,72,NA
"439",50039,NA,319,NA
"440",50041,NA,53,NA
"441",50042,NA,267,NA
"442",50050,NA,706,NA
"443",50051,NA,361,NA
"444",50052,NA,166,NA
"445",50055,NA,917,NA
"446",50057,NA,256,NA
"447",50062,NA,677,NA
"448",50063,NA,2734,NA
"449",50064,NA,122,NA
"450",50065,NA,620,NA
"451",50066,NA,299,NA
"452",50067,NA,225,NA
"453",50068,NA,272,NA
"454",50070,NA,1567,NA
"455",50073,NA,1120,NA
"456",50074,NA,432,NA
"457",50078,NA,137,NA
"458",50101,NA,78,NA
"459",50102,NA,99,NA
"460",50103,NA,399,NA
"461",50104,NA,105,NA
"462",50105,NA,1219,NA
"463",50106,NA,1065,NA
"464",50108,NA,385,NA
"465",50116,NA,313,NA
"466",50117,NA,78,NA
"467",50118,NA,1027,NA
"468",50119,NA,518,NA
"469",50120,NA,318,NA
"470",50127,NA,18,NA
"471",50128,NA,387,NA
"472",50132,NA,235,NA
"473",50133,NA,403,NA
"474",50134,NA,701,NA
"475",50136,NA,422,NA
"476",50139,NA,1535,NA
"477",50141,NA,626,NA
"478",50143,NA,647,NA
"479",50146,NA,385,NA
"480",50147,NA,380,NA
"481",50148,NA,397,NA
"482",50149,NA,922,NA
"483",50151,NA,555,NA
"484",50153,NA,836,NA
"485",50154,NA,418,NA
"486",50155,NA,292,NA
"487",50157,NA,942,NA
"488",50164,NA,554,NA
"489",50165,NA,113,NA
"490",50166,NA,1630,NA
"491",50167,NA,497,NA
"492",50168,NA,644,NA
"493",50173,NA,820,NA
"494",50206,NA,558,NA
"495",50214,NA,874,NA
"496",50217,NA,612,NA
"497",50218,NA,155,NA
"498",50222,NA,553,NA
"499",50223,NA,542,NA
"500",50227,NA,32,NA
"501",50229,NA,755,NA
"502",50230,NA,1059,NA
"503",50231,NA,188,NA
"504",50232,NA,474,NA
"505",50233,NA,1355,NA
"506",50234,NA,588,NA
"507",50235,NA,384,NA
"508",50236,NA,1606,NA
"509",50238,NA,1303,NA
"510",50239,NA,159,NA
"511",50242,NA,520,NA
"512",50243,NA,187,NA
"513",50246,NA,667,NA
"514",50252,NA,280,NA
"515",50254,NA,286,NA
"516",50255,NA,75,NA
"517",50256,NA,528,NA
"518",50257,NA,1037,NA
"519",50258,NA,1023,NA
"520",50262,NA,442,NA
"521",50264,NA,486,NA
"522",50268,NA,990,NA
"523",50271,NA,646,NA
"524",50272,NA,113,NA
"525",50274,NA,343,NA
