category,Table Name,zipcode,bachelor,high.school,income,pop.asian,pop.black,pop.hawai,pop.indian,pop.multi,pop.other,pop.white,population,sale.dollars,sale.volume,unemployment
,project.acs.zipcodes.csv,50170,20.5,92.8,35527,7,0,0,0,28,0,2588,2623,,,6.1
,project.acs.zipcodes.csv,50171,18,94,32981,5,29,0,0,24,0,2695,2753,,,5.2
,project.acs.zipcodes.csv,50173,17.8,90.5,36250,0,0,0,214,19,0,587,820,,,4.2
,project.acs.zipcodes.csv,50174,9,95,30338,0,4,0,0,17,0,1382,1403,,,4.4
,project.acs.zipcodes.csv,50201,27.8,94.5,36109,49,49,0,0,150,6,8178,8432,,,4.1
,project.acs.zipcodes.csv,50206,34.3,93.8,34375,0,0,0,0,5,0,553,558,,,6
,project.acs.zipcodes.csv,50207,19.8,94,31555,3,0,0,12,26,0,2425,2466,,,4.5
,project.acs.zipcodes.csv,50208,16.5,91.9,28074,162,507,0,59,359,35,19423,20545,,,5.3
,project.acs.zipcodes.csv,50210,16.8,91.8,40401,3,0,0,0,23,0,1607,1633,,,2.3
,project.acs.zipcodes.csv,50211,36,95.9,42163,64,12,0,53,72,105,11976,12282,,,5
,project.acs.zipcodes.csv,50212,21.4,94.2,30108,0,0,0,0,144,9,3041,3194,,,6.1
,project.acs.zipcodes.csv,50213,16.7,88.7,30221,72,23,0,0,155,228,6399,6877,,,4.5
,project.acs.zipcodes.csv,50214,35.6,97.8,45344,0,0,0,0,0,0,874,874,,,0
,project.acs.zipcodes.csv,50216,33.8,95.1,36886,5,0,0,18,0,0,2525,2548,,,1.7
,project.acs.zipcodes.csv,50217,17.1,97.2,29063,5,0,0,0,1,0,606,612,,,6.7
,project.acs.zipcodes.csv,50218,3.7,95.4,25938,0,0,0,0,0,0,155,155,,,8.2
,project.acs.zipcodes.csv,50219,39.5,92.7,27224,270,122,0,23,288,158,12941,13802,,,2.7
,project.acs.zipcodes.csv,50220,14.3,80.4,26177,104,171,0,9,195,558,8103,9140,,,2.4
,project.acs.zipcodes.csv,50222,19.9,96.7,30208,0,0,0,0,24,0,529,553,,,1.7
,project.acs.zipcodes.csv,50223,12.7,90.9,31818,0,0,0,0,0,0,542,542,,,1.5
,project.acs.zipcodes.csv,50225,17.3,93.1,35931,41,0,0,12,62,4,2776,2895,,,2.5
,project.acs.zipcodes.csv,50226,44.8,98.6,52459,13,0,0,0,59,5,5842,5919,,,2.2
,project.acs.zipcodes.csv,50227,12,100,31667,0,0,0,0,0,0,32,32,,,0
,project.acs.zipcodes.csv,50228,26.9,94.2,35200,3,9,20,0,28,2,2611,2673,,,1.9
,project.acs.zipcodes.csv,50229,27.8,99.1,49038,3,0,0,0,11,0,741,755,,,0.2
,project.acs.zipcodes.csv,50230,23.9,91.4,35417,0,0,0,0,0,25,1034,1059,,,2.8
,project.acs.zipcodes.csv,50231,24.4,92.4,32375,0,0,0,0,10,20,158,188,,,4.3
